ds,y,t-168Mod
2020-07-17 05:00:00,134.728,109.95
2020-07-17 06:00:00,195.309,242.723
2020-07-17 07:00:00,419.647,422.3659
2020-07-17 08:00:00,394.658,298.1944
2020-07-17 09:00:00,466.861,620.817
2020-07-17 10:00:00,383.893,487.326
2020-07-17 11:00:00,514.609,528.747
2020-07-17 12:00:00,459.265,662.843
2020-07-17 13:00:00,424.72,705.528
2020-07-17 14:00:00,669.448,627.525
2020-07-17 15:00:00,668.73,686.499
2020-07-17 16:00:00,484.215,801.3060000000002
2020-07-17 17:00:00,305.916,583.783
2020-07-17 18:00:00,514.48,587.131
2020-07-17 19:00:00,704.069,358.4868
2020-07-17 20:00:00,672.122,461.624
2020-07-17 21:00:00,546.568,549.692
2020-07-17 22:00:00,417.806,400.729
2020-07-17 23:00:00,221.613,252.27
2020-07-18 00:00:00,188.568,332.532
2020-07-18 01:00:00,191.335,192.295
2020-07-18 02:00:00,79.876,116.4911
2020-07-18 03:00:00,61.547,62.172599999999996
2020-07-18 04:00:00,98.565,54.493
2020-07-18 05:00:00,67.363,60.919
2020-07-18 06:00:00,126.545,101.073
2020-07-18 07:00:00,72.764,120.046
2020-07-18 08:00:00,184.172,193.216
2020-07-18 09:00:00,212.845,330.901
2020-07-18 10:00:00,269.098,398.3661
2020-07-18 11:00:00,274.589,256.55069999999995
2020-07-18 12:00:00,316.347,331.416
2020-07-18 13:00:00,376.985,462.90090000000004
2020-07-18 14:00:00,348.716,308.8967
2020-07-18 15:00:00,332.136,353.278
2020-07-18 16:00:00,390.492,324.173
2020-07-18 17:00:00,325.646,469.143
2020-07-18 18:00:00,484.737,480.537
2020-07-18 19:00:00,521.328,571.267
2020-07-18 20:00:00,437.027,595.776
2020-07-18 21:00:00,471.154,447.907
2020-07-18 22:00:00,387.038,375.054
2020-07-18 23:00:00,181.246,147.285
2020-07-19 00:00:00,288.665,241.8075
2020-07-19 01:00:00,257.355,91.04059999999998
2020-07-19 02:00:00,88.663,99.781
2020-07-19 03:00:00,57.837,58.934
2020-07-19 04:00:00,36.149,42.839
2020-07-19 05:00:00,102.061,69.143
2020-07-19 06:00:00,109.207,78.408
2020-07-19 07:00:00,82.858,42.057
2020-07-19 08:00:00,81.928,90.702
2020-07-19 09:00:00,170.988,151.22030000000004
2020-07-19 10:00:00,202.95,188.50929999999997
2020-07-19 11:00:00,266.707,275.607
2020-07-19 12:00:00,252.347,279.948
2020-07-19 13:00:00,326.963,298.958
2020-07-19 14:00:00,265.987,343.655
2020-07-19 15:00:00,271.763,252.008
2020-07-19 16:00:00,294.109,280.669
2020-07-19 17:00:00,301.615,301.634
2020-07-19 18:00:00,323.213,337.116
2020-07-19 19:00:00,371.45,408.26
2020-07-19 20:00:00,332.345,218.48
2020-07-19 21:00:00,239.989,274.53
2020-07-19 22:00:00,256.299,216.5757
2020-07-19 23:00:00,136.376,103.4369
2020-07-20 00:00:00,131.619,98.558
2020-07-20 01:00:00,148.85,57.376
2020-07-20 02:00:00,29.419,21.562
2020-07-20 03:00:00,52.627,54.35
2020-07-20 04:00:00,59.448,66.991
2020-07-20 05:00:00,124.955,118.916
2020-07-20 06:00:00,190.776,210.061
2020-07-20 07:00:00,368.023,411.824
2020-07-20 08:00:00,545.494,535.627
2020-07-20 09:00:00,467.381,477.515
2020-07-20 10:00:00,458.262,524.717
2020-07-20 11:00:00,508.913,463.746
2020-07-20 12:00:00,508.93,543.916
2020-07-20 13:00:00,561.969,616.345
